Category,Stratum,N,MeanOptimizedTTW,EarlyWakeRatePct,EarlyAlarmRatePct
Age,Age<50,321,19.7315706330797,31.1526479750779,29.595015576324
Age,Age50-69,656,18.7177160259481,32.469512195122,30.3353658536585
Age,Age>=70,301,19.2462297262884,33.8870431893688,33.2225913621262
BMI,BMI<25,899,19.05586705668,33.0367074527253,31.1457174638487
BMI,BMI25-34,376,19.1028128717131,31.1170212765957,30.0531914893617
BMI,BMI>=35,3,30.6296367113153,33.3333333333333,33.3333333333333
Duration,Dur<120,664,19.2008198619566,31.9277108433735,30.5722891566265
Duration,Dur120-179,275,19.6291927477648,31.6363636363636,30.1818181818182
Duration,Dur>=180,339,18.4613529199967,34.2182890855457,31.858407079646
